s370_perf_sum  -rat

File num: name ----------------------------------- #test w50-avr  w50-max
      01: 2018-01-13_sys2-b.dat                      233   0.82%     3.2%
      02: 2018-01-03_rasp2b.dat                      233   0.78%     9.0%

Tag   Comment                :     tpi01     tpi02 :  t02/t01
T100  LR R,R                 :      2.09     28.98 :   13.866
T101  LA R,n                 :      2.78     49.77 :   17.903
T102  L R,m                  :      7.50    130.93 :   17.457
T103  L R,m (unal)           :      8.59    138.38 :   16.109
T104  LH R,m                 :      9.08    142.14 :   15.654
T105  LH R,m (unal3)         :      9.47    146.03 :   15.420
T106  LTR R,R                :      3.52     38.06 :   10.812
T107  LCR R,R                :      3.60     43.34 :   12.039
T108  LNR R,R                :      3.24     40.17 :   12.398
T109  LPR R,R                :      3.78     42.88 :   11.344
T110  ST R,m                 :      7.68    126.01 :   16.408
T111  ST R,m (unal)          :      8.58    138.13 :   16.099
T112  STH R,m                :      9.50    137.08 :   14.429
T113  STH R,m (unal1)        :      9.39    139.15 :   14.819
T114  STH R,m (unal3)        :      9.37    141.80 :   15.133
T115  STC R,m                :      8.83    126.51 :   14.327
T116  STCM R,i,m (0010)      :     12.31    324.37 :   26.350
T117  STCM R,i,m (1100)      :     13.42    341.75 :   25.466
T118  STCM R,i,m (0111)      :      9.81    300.49 :   30.631
T120  STM 2,3,m (2r)         :     11.05    168.02 :   15.205
T121  STM 2,7,m (6r)         :     14.45    237.84 :   16.460
T122  STM 14,12,m (15r)      :     19.73    357.29 :   18.109
T123  LM 2,3,m (2r)          :     11.33    159.46 :   14.074
T124  LM 2,7,m (6r)          :     15.23    211.84 :   13.909
T125  LM 0,11,m (12r)        :     20.31    264.18 :   13.007
T151  MVC m,m (10c)          :     20.11    313.42 :   15.585
T154  MVC m,m (100c)         :     23.05    497.30 :   21.575
T155  MVC m,m (250c)         :     31.25    899.30 :   28.778
T156  MVC m,m (250c,over1)   :    350.52   1140.84 :    3.255
T157  MVC m,m (250c,over2)   :     31.21    864.65 :   27.704
T160  MVI m,i                :      7.95    116.07 :   14.600
T161  MVN m,m (10c)          :     20.05    344.92 :   17.203
T162  MVN m,m (30c)          :     33.80    526.64 :   15.581
T165  MVZ m,m (10c)          :     20.01    344.56 :   17.219
T166  MVZ m,m (30c)          :     33.76    526.49 :   15.595
T167  MVCIN m,m (10c)        :     73.13   1257.75 :   17.199
T168  MVCIN m,m (30c)        :    204.12   3528.11 :   17.284
T169  MVCIN m,m (100c)       :    666.58  11462.09 :   17.195
T170  4*Lx;MVCL (10b)        :     34.69    667.67 :   19.247
T171  4*Lx;MVCL (100b)       :     41.61    863.43 :   20.751
T172  4*Lx;MVCL (250b)       :     50.81   1200.55 :   23.628
T173  4*Lx;MVCL (1kb)        :    106.73   2939.44 :   27.541
T174  4*LR;MVCL (4kb)        :    335.19  10040.63 :   29.955
T175  4*Lx;MVCL (100b,pad)   :     29.66    548.25 :   18.484
T176  4*Lx;MVCL (1kb,pad)    :     45.41    883.11 :   19.447
T177  4*Lx;MVCL (4kb,pad)    :    106.27   2530.81 :   23.815
T178  4*LA;MVCL (1kb,over1)  :     21.83    371.80 :   17.032
T179  4*LA;MVCL (1kb,over2)  :    114.51   3030.62 :   26.466
T190  IC R,m                 :      8.99    131.27 :   14.602
T191  ICM R,i,m (0010)       :     15.92    303.10 :   19.039
T192  ICM R,i,m (1100)       :     16.43    303.14 :   18.450
T193  ICM R,i,m (0111)       :     12.61    139.80 :   11.086
T200  AR R,R                 :      3.42     44.18 :   12.918
T201  A R,m                  :      9.37    151.87 :   16.208
T202  AH R,m                 :     10.01    154.81 :   15.466
T203  ALR R,R                :      2.81     35.68 :   12.698
T204  AL R,m                 :     10.42    147.54 :   14.159
T210  MR R,R                 :      5.60     48.25 :    8.616
T211  M R,m                  :      9.91    152.85 :   15.424
T212  MH R,m                 :     10.07    147.93 :   14.690
T215  XR R,R; DR R,R         :     17.93    537.70 :   29.989
T216  XR R,R; D R,m          :     23.47    633.06 :   26.973
T220  SLA R,1                :      6.47     74.20 :   11.468
T221  SLDA R,1               :      7.30     92.47 :   12.667
T222  SRA R,1                :      5.12     61.27 :   11.967
T223  SRDA R,1               :      6.22     79.20 :   12.733
T224  SRA R,30               :      5.14     61.37 :   11.940
T225  SRDA R,60              :      6.26     79.07 :   12.631
T230  XR R,R                 :      3.19     39.06 :   12.245
T231  X R,m                  :      9.46    145.38 :   15.368
T232  XI m,i                 :      9.79    130.50 :   13.330
T235  XC m,m (10c)           :     22.30    325.38 :   14.591
T236  XC m,m (100c)          :    101.47   1134.85 :   11.184
T237  XC m,m (250c)          :    224.77   2480.54 :   11.036
T238  NR R,R                 :      3.57     39.05 :   10.938
T239  OR R,R                 :      3.55     39.04 :   10.997
T240  SLL R,1                :      4.34     58.59 :   13.500
T241  SLDL R,1               :      5.79     72.21 :   12.472
T242  SRL R,1                :      4.49     58.77 :   13.089
T243  SRDL R,1               :      5.78     71.12 :   12.304
T244  SLL R,30               :      4.34     58.63 :   13.509
T245  SLDL R,60              :      5.77     72.24 :   12.520
T250  TM m,i                 :      8.88    123.18 :   13.872
T252  TR m,m (10c)           :     27.85    499.04 :   17.919
T253  TR m,m (100c)          :    150.94   2111.37 :   13.988
T254  TR m,m (250c)          :    347.36   4790.02 :   13.790
T255  TRT m,m (10c,zero)     :     84.64   1406.46 :   16.617
T256  TRT m,m (100c,zero)    :    785.36  13337.17 :   16.982
T257  TRT m,m (250c,zero)    :   1948.82  33188.43 :   17.030
T258  TRT m,m (250c,10b)     :     93.91   1557.74 :   16.588
T259  TRT m,m (250c,100b)    :    800.63  13479.28 :   16.836
T260  CR R,R                 :      2.56     38.04 :   14.859
T261  C R,m                  :      8.72    144.63 :   16.586
T262  CH R,m                 :      9.14    147.20 :   16.105
T263  CLR R,R                :      2.51     32.40 :   12.908
T264  CL R,m                 :      7.75    135.59 :   17.495
T265  CLI m,i                :      9.83    125.98 :   12.816
T266  CLM R,i,m              :     12.30    189.20 :   15.382
T270  CLC m,m (10c,eq)       :     34.38    306.63 :    8.919
T271  CLC m,m (10c,ne)       :     30.22    285.17 :    9.436
T272  CLC m,m (30c,eq)       :     45.32    338.99 :    7.480
T273  CLC m,m (30c,ne)       :     30.21    290.54 :    9.617
T274  CLC m,m (100c,eq)      :     83.89    433.56 :    5.168
T275  CLC m,m (100c,ne)      :     30.30    289.81 :    9.565
T276  CLC m,m (250c,eq)      :    165.70    669.14 :    4.038
T277  CLC m,m (250c,ne)      :     30.22    277.81 :    9.193
T280  4*LR;CLCL (100b,10b)   :    107.04   1959.20 :   18.303
T281  4*LR;CLCL (4kb,10b)    :    109.51   1998.14 :   18.246
T282  4*LR;CLCL (4kb,100b)   :    879.97  15852.56 :   18.015
T283  4*LR;CLCL (4kb,250b)   :   2148.18  38931.74 :   18.123
T290  LR;CS R,R,m (eq,eq)    :     39.36    549.09 :   13.950
T291  LR;CS R,R,m (eq,ne)    :     39.13    548.97 :   14.029
T292  LR;CS R,R,m (ne)       :    179.01   2531.27 :   14.140
T295  LR;CDS R,R,m (eq,eq)   :     41.55    577.13 :   13.890
T296  LR;CDS R,R,m (eq,ne)   :     41.38    578.86 :   13.989
T297  LR;CDS R,R,m (ne)      :    181.03   2551.08 :   14.092
T300  BCR 0,0 (noop)         :      2.49     33.53 :   13.466
T301  BNZ l (no br)          :      2.12     35.83 :   16.901
T302  BNZ l (do br)          :      7.21     62.19 :    8.626
T303  BNZ l (do br, far)     :     12.91    239.17 :   18.526
T310  BCTR R,0               :      3.55     44.53 :   12.544
T311  BCTR R,R               :      7.09     56.68 :    7.994
T312  BCT R,l                :      8.39     76.91 :    9.167
T315  BXLE R,R,l             :      8.56     75.55 :    8.826
T320  BALR R,R; BR R         :     13.31    122.40 :    9.196
T321  BALR R,R; BR R (far)   :     39.78    486.38 :   12.227
T322  BAL R,l; BR R          :     15.27    144.45 :    9.460
T323  BAL R,l; BR R (far)    :     26.95    510.21 :   18.932
T324  BASR R,R; BR R         :     13.51    116.47 :    8.621
T325  BAS R,l; BR R          :     15.28    130.69 :    8.553
T330  L;BALR;SAV(14,12);RET  :    122.39   1969.46 :   16.092
T400  CVB R,m                :     38.90    673.33 :   17.309
T401  CVD R,m                :     36.04   6179.86 :  171.472
T402  PACK m,m (5d)          :     38.53    666.07 :   17.287
T403  PACK m,m (15d)         :     96.27   1665.27 :   17.298
T404  UNPK m,m (5d)          :     42.86    708.17 :   16.523
